Device number: 2016951;;
Name;left table;right table
Measuring mode;Irradiance;Irradiance
Correction;UV;UV
Date;24-4-2025;24-4-2025
Time;09:03:43;09:04:17
Sync. frequency [Hz];0;0
T_int [ms];42,07;50
Averages;1;1
;;
Ev [lx] (CIE1931 2°);1,40E+04;1,37E+04
Ee [W/sqm] (230-1000nm);4,62E+01;4,49E+01
CCT [K];3990;4015
;;
Chrom. Coord. (CIE1931 2°);;
x;0,3777;0,3769
y;0,3653;0,3658
;;
PAR;;
Begin [nm];400;400
End [nm];700;700
Ephot (Begin..End) [umol/s sqm];2,13E+02;2,07E+02
;;
;;
Wavelength [nm];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)]
890;4,74E-04;4,85E-04
891;4,39E-04;2,81E-04
892;3,58E-04;7,71E-05
893;2,39E-04;1,62E-04
894;1,61E-06;4,21E-04
895;3,71E-04;0,00E+00
896;1,18E-04;2,97E-04
897;3,75E-06;3,45E-04
898;2,23E-04;3,04E-04
899;5,25E-04;3,82E-04
900;4,26E-04;1,70E-04
901;2,17E-04;2,11E-04
902;0,00E+00;5,57E-04
903;0,00E+00;2,31E-04
904;1,47E-04;4,12E-05
905;0,00E+00;7,21E-04
906;6,45E-05;3,75E-04
907;3,59E-05;2,05E-04
908;1,32E-04;2,09E-04
909;4,13E-04;5,61E-05
910;1,44E-04;2,90E-04
911;2,79E-04;4,12E-04
912;1,56E-04;3,92E-04
913;3,10E-04;1,11E-04
914;1,13E-04;2,05E-04
915;2,71E-05;2,35E-05
916;0,00E+00;3,71E-04
917;2,07E-04;4,90E-04
918;6,56E-05;5,89E-04
919;3,54E-04;0,00E+00
920;3,57E-05;3,60E-04
921;2,81E-04;2,17E-04
922;5,45E-05;3,08E-04
923;2,89E-04;1,14E-04
924;5,88E-05;5,57E-05
925;3,03E-04;1,81E-04
926;4,35E-04;2,60E-04
927;2,86E-04;0,00E+00
928;5,75E-06;7,42E-04
929;9,43E-05;4,17E-04
930;4,85E-04;2,35E-04
931;3,50E-04;7,31E-05
932;8,59E-04;5,71E-06
933;6,46E-04;4,62E-05
934;3,61E-04;1,28E-05
935;4,01E-06;7,31E-04
936;4,01E-04;1,66E-04
937;4,21E-04;4,96E-04
938;0,00E+00;3,52E-05
939;4,41E-05;0,00E+00
940;4,90E-05;3,66E-04
941;0,00E+00;2,98E-05
942;1,75E-04;1,03E-04
943;0,00E+00;5,39E-04
944;4,66E-04;7,82E-05
945;4,85E-04;2,92E-04
946;2,41E-04;1,61E-04
947;5,45E-04;0,00E+00
948;1,25E-04;1,75E-04
949;4,20E-05;0,00E+00
950;2,30E-05;3,00E-04
951;3,32E-06;8,19E-05
952;2,86E-05;7,22E-05
953;3,59E-04;0,00E+00
954;1,37E-05;1,90E-04
955;4,89E-04;0,00E+00
956;0,00E+00;3,52E-04
957;0,00E+00;7,98E-04
958;0,00E+00;3,96E-04
959;1,11E-04;5,72E-04
960;5,63E-04;5,84E-05
961;1,34E-03;8,67E-05
962;3,70E-04;1,48E-04
963;2,05E-04;1,04E-04
964;2,77E-04;9,11E-05
